,formulaA,formulaB,formulaA_elements_AtomicVolume,formulaB_elements_AtomicVolume,formulaA_elements_AtomicWeight,formulaB_elements_AtomicWeight,formulaA_elements_BoilingT,formulaB_elements_BoilingT,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_Column,formulaB_elements_Column,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_Density,formulaB_elements_Density,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_Electronegativity,formulaB_elements_Electronegativity,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSbandgap,formulaB_elements_GSbandgap,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_GSestBCClatcnt,formulaB_elements_GSestBCClatcnt,formulaA_elements_GSestFCClatcnt,formulaB_elements_GSestFCClatcnt,formulaA_elements_GSmagmom,formulaB_elements_GSmagmom,formulaA_elements_GSvolume_pa,formulaB_elements_GSvolume_pa,formulaA_elements_HHIp,formulaB_elements_HHIp,formulaA_elements_HHIr,formulaB_elements_HHIr,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatCapacityMolar,formulaB_elements_HeatCapacityMolar,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_ICSDVolume,formulaB_elements_ICSDVolume,formulaA_elements_IsAlkali,formulaB_elements_IsAlkali,formulaA_elements_IsDBlock,formulaB_elements_IsDBlock,formulaA_elements_IsFBlock,formulaB_elements_IsFBlock,formulaA_elements_IsMetal,formulaB_elements_IsMetal,formulaA_elements_IsMetalloid,formulaB_elements_IsMetalloid,formulaA_elements_IsNonmetal,formulaB_elements_IsNonmetal,formulaA_elements_MeltingT,formulaB_elements_MeltingT,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_MiracleRadius,formulaB_elements_MiracleRadius,formulaA_elements_NUnfilled,formulaB_elements_NUnfilled,formulaA_elements_NValance,formulaB_elements_NValance,formulaA_elements_NdUnfilled,formulaB_elements_NdUnfilled,formulaA_elements_NdValence,formulaB_elements_NdValence,formulaA_elements_NfUnfilled,formulaB_elements_NfUnfilled,formulaA_elements_NfValence,formulaB_elements_NfValence,formulaA_elements_NpUnfilled,formulaB_elements_NpUnfilled,formulaA_elements_NpValence,formulaB_elements_NpValence,formulaA_elements_NsUnfilled,formulaB_elements_NsUnfilled,formulaA_elements_NsValence,formulaB_elements_NsValence,formulaA_elements_Number,formulaB_elements_Number,formulaA_elements_Polarizability,formulaB_elements_Polarizability,formulaA_elements_Row,formulaB_elements_Row,formulaA_elements_ShearModulus,formulaB_elements_ShearModulus,formulaA_elements_SpaceGroupNumber,formulaB_elements_SpaceGroupNumber,avg_coordination_A,avg_coordination_B,avg_nearest_neighbor_distance_A,avg_nearest_neighbor_distance_B,stabilityVec
0,Ac,Ag,37.43308629999999,17.07564795,227.0,107.8682,3473.0,2435.0,0.0,100.0,3,11,215,145,10070.0,10490.0,0.0,1.36,1.1,1.93,5.17,7.576230000000001,0.0,0.0,-4.1050022980000005,-2.76539356,4.465163104,3.1964805060000003,5.625752986,4.027313073999999,0.0,0.0,44.5125,16.33,0,1200,0,1400,0.12,0.235,27.2,25.35,12.0,11.3,37.45,17.05,0,0,0,1,1,0,1,1,0,0,0,0,1323.0,1234.93,14,65,0,144,9,1,3,11,9,0,1,10,0,0,0,0,0,0,0,0,0,1,2,1,89,47,32.1,6.99,7,5,0.0,30.0,225,225,12.0,12.0,3.99462,2.94195,"[1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0]"
1,Ac,Al,37.43308629999999,16.59442452,227.0,26.9815386,3473.0,2792.0,0.0,76.0,3,13,215,121,10070.0,2700.0,0.0,1.39,1.1,1.61,5.17,5.985768,0.0,0.0,-4.1050022980000005,-3.74542312,4.465163104,3.2062378330000003,5.625752986,4.039606536,0.0,0.0,44.5125,16.48,0,1600,0,1000,0.12,0.897,27.2,24.2,12.0,10.71,37.45,16.61,0,0,0,0,1,0,1,1,0,0,0,0,1323.0,933.47,14,73,0,141,9,5,3,3,9,0,1,0,0,0,0,0,0,5,0,1,0,0,2,2,89,13,32.1,6.8,7,3,0.0,26.0,225,225,12.0,12.0,3.99462,2.85595,"[1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
2,Ac,As,37.43308629999999,21.72396574,227.0,74.9216,3473.0,887.0,0.0,22.0,3,15,215,119,10070.0,5727.0,0.0,1.44,1.1,2.18,5.17,9.7886,0.0,0.0,-4.1050022980000005,-4.650889115,4.465163104,3.539684396,5.625752986,4.459722881,0.0,0.0,44.5125,22.175,0,3300,0,4000,0.12,0.32899999999999996,27.2,24.64,12.0,24.44,37.45,21.52,0,0,0,0,1,0,1,1,0,1,0,0,1323.0,1090.0,14,84,0,115,9,3,3,15,9,0,1,10,0,0,0,0,0,3,0,3,0,0,2,2,89,33,32.1,4.31,7,4,0.0,0.0,225,166,12.0,3.0,3.99462,2.5579,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
3,Ba,Ac,64.96928167,37.43308629999999,137.327,227.0,2143.0,3473.0,9.6,0.0,2,3,215,215,3510.0,10070.0,0.81,0.0,0.89,1.1,5.211664,5.17,0.0,0.0,-1.92352226,-4.1050022980000005,5.028899311,4.465163104,6.336016099999999,5.625752986,0.0,0.0,63.59,44.5125,3000,0,2300,0,0.204,0.12,28.07,27.2,7.12,12.0,62.88,37.45,1,0,0,0,0,1,1,1,0,0,0,0,1000.0,1323.0,9,14,223,0,0,9,2,3,0,9,0,1,0,0,0,0,0,0,0,0,0,0,2,2,56,89,39.7,32.1,6,7,4.9,0.0,229,225,8.0,12.0,4.35637,3.99462,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
4,Ac,Bi,37.43308629999999,35.48345908,227.0,208.9804,3473.0,1837.0,0.0,31.0,3,15,215,148,10070.0,9780.0,0.0,1.16,1.1,2.02,5.17,7.2855,0.0,0.0,-4.1050022980000005,-3.9736943999999994,4.465163104,4.039197959,5.625752986,5.089070533,0.0,0.0,44.5125,32.95,0,5300,0,6000,0.12,0.122,27.2,25.52,12.0,11.106,37.45,35.38,0,0,0,0,1,0,1,1,0,0,0,0,1323.0,544.4,14,86,0,162,9,3,3,29,9,0,1,10,0,0,0,14,0,3,0,3,0,0,2,2,89,83,32.1,0.4,7,6,0.0,12.0,225,12,12.0,3.0,3.99462,3.1122099999999997,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
5,Br,Ac,42.52782532,37.43308629999999,79.904,227.0,332.0,3473.0,1.9,0.0,17,3,120,215,3120.0,10070.0,0.0,0.0,2.96,1.1,11.8138,5.17,1.4569999999999999,0.0,-1.5830253380000001,-4.1050022980000005,3.8921164439999996,4.465163104,4.9037594360000005,5.625752986,0.0,0.0,29.48,44.5125,3300,0,6900,0,0.474,0.12,75.69,27.2,5.285,12.0,65.14,37.45,0,0,0,0,0,1,0,1,0,0,1,0,265.8,1323.0,95,14,0,0,1,9,17,3,0,9,10,1,0,0,0,0,1,0,5,0,0,0,2,2,35,89,3.05,32.1,4,7,0.0,0.0,64,225,1.0,12.0,2.38875,3.99462,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
6,Ac,C,37.43308629999999,8.825089715,227.0,12.0107,3473.0,4300.0,0.0,33.0,3,14,215,76,10070.0,2260.0,0.0,1.77,1.1,2.55,5.17,11.2603,0.0,4.496,-4.1050022980000005,-9.209713655,4.465163104,2.242692341,5.625752986,2.825615289,0.0,0.0,44.5125,5.64,0,500,0,500,0.12,0.7090000000000001,27.2,8.517000000000001,12.0,117.4,37.45,5.67,0,0,0,0,1,0,1,0,0,0,0,1,1323.0,3823.0,14,77,0,77,9,4,3,4,9,0,1,0,0,0,0,0,0,4,0,2,0,0,2,2,89,6,32.1,1.67,7,2,0.0,0.0,225,194,12.0,3.0,3.99462,1.4240899999999999,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
7,Ca,Ac,42.9371873,37.43308629999999,40.078,227.0,1757.0,3473.0,17.0,0.0,2,3,176,215,1550.0,10070.0,0.91,0.0,1.0,1.1,6.11316,5.17,0.0,0.0,-1.948329565,-4.1050022980000005,4.2272603239999995,4.465163104,5.3260142660000005,5.625752986,0.0,0.0,37.77,44.5125,3900,0,1500,0,0.647,0.12,25.929000000000002,27.2,8.54,12.0,44.19,37.45,1,0,0,0,0,1,1,1,0,0,0,0,1115.0,1323.0,7,14,201,0,0,9,2,3,0,9,0,1,0,0,0,0,0,0,0,0,0,0,2,2,20,89,25.73333333,32.1,4,7,7.4,0.0,225,225,12.0,12.0,3.89661,3.99462,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
8,Eu,Ac,48.12129236,37.43308629999999,151.964,227.0,1800.0,3473.0,8.3,0.0,3,3,198,215,5244.0,10070.0,0.88,0.0,1.185,1.1,5.670380000000001,5.17,0.0,0.0,-1.82958684,-4.1050022980000005,4.177811939,4.465163104,5.263713205,5.625752986,0.0,0.0,36.46,44.5125,9500,0,3100,0,0.182,0.12,27.66,27.2,9.21,12.0,48.53,37.45,0,0,0,0,1,1,1,1,0,0,0,0,1095.0,1323.0,25,14,196,0,7,9,9,3,0,9,0,1,7,0,7,0,0,0,0,0,0,0,2,2,63,89,27.7,32.1,6,7,7.9,0.0,229,225,12.0,12.0,4.00957,3.99462,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
9,Ac,Fe,37.43308629999999,11.77736497,227.0,55.845,3473.0,3134.0,0.0,170.0,3,8,215,132,10070.0,7874.0,0.0,1.77,1.1,1.83,5.17,7.9024,0.0,0.0,-4.1050022980000005,-8.28548436,4.465163104,2.7789233789999996,5.625752986,3.501224062,0.0,2.1106627999999996,44.5125,10.73,0,2400,0,1400,0.12,0.449,27.2,25.1,12.0,13.81,37.45,11.78,0,0,0,1,1,0,1,1,0,0,0,0,1323.0,1811.0,14,55,0,125,9,4,3,8,9,4,1,6,0,0,0,0,0,0,0,0,0,0,2,2,89,26,32.1,8.4,7,4,0.0,82.0,225,229,12.0,8.0,3.99462,2.46654,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
